,Title,Artist,Energy,Tempo,Danceability,Instrumentalness,Valence,Cluster
131,In The Air Tonight - 2015 Remastered,Phil Collins,0.239,189.507,0.446,4.1e-06,0.298,5
132,Jumpin' Jack Flash,The Rolling Stones,0.909,137.335,0.575,0.23800000000000002,0.693,6
133,Drive,The Cars,0.606,111.441,0.5820000000000001,0.00139,0.504,1
134,"Monday, Monday - Single Version",The Mamas & The Papas,0.467,110.553,0.493,0.0,0.731,7
135,Don't Be Cruel,Elvis Presley,0.675,84.96700000000001,0.68,0.0,0.805,6
136,Without You,Harry Nilsson,0.212,65.311,0.441,5.52e-06,0.124,3
137,Heaven,Bryan Adams,0.5720000000000001,69.83,0.26899999999999996,1.3e-06,0.364,3
138,Tainted Love,Soft Cell,0.535,144.635,0.556,0.0,0.687,2
139,Tutti Frutti,Little Richard,0.5479999999999999,184.795,0.499,0.0,0.9640000000000001,2
140,The Girl From Ipanema,Stan Getz,0.149,130.359,0.653,0.000983,0.48100000000000004,0
141,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,0.812,108.352,0.825,4.5799999999999995e-05,0.847,6
142,Love Hurts - Single Edit,Nazareth,0.491,79.954,0.442,0.00491,0.125,3
143,I'm Not In Love,10cc,0.523,133.738,0.40399999999999997,0.0004980000000000001,0.16399999999999998,5
144,Enter Sandman,Metallica,0.828,123.257,0.5770000000000001,0.0114,0.604,1
145,Song Sung Blue - Single Version,Neil Diamond,0.327,108.913,0.556,1.32e-05,0.327,3
146,(What A) Wonderful World - Remastered,Sam Cooke,0.5429999999999999,128.091,0.524,0.0,0.877,6
147,Paradise City,Guns N' Roses,0.9520000000000001,100.271,0.273,0.0111,0.47200000000000003,7
148,Lovely Day,Bill Withers,0.6509999999999999,97.91799999999999,0.69,0.0024100000000000002,0.706,6
149,I Want to Know What Love Is - 1999 Remaster,Foreigner,0.47100000000000003,81.204,0.47700000000000004,1.76e-06,0.423,3
150,Penny Lane - Remastered,The Beatles,0.488,113.038,0.6509999999999999,0.026000000000000002,0.49,0
151,Wouldn't It Be Nice - Stereo Mix,The Beach Boys,0.629,124.51100000000001,0.392,3.76e-06,0.72,7
152,Raindrops Keep Fallin' On My Head,B.J. Thomas,0.446,104.962,0.519,0.000124,0.654,7
153,Time After Time,Cyndi Lauper,0.449,130.388,0.726,1.34e-06,0.294,1
154,Mustang Sally,Wilson Pickett,0.327,110.43799999999999,0.725,0.326,0.688,0
155,Our House,Madness,0.715,120.999,0.589,0.00105,0.8059999999999999,6
156,How Deep Is Your Love,Bee Gees,0.23,104.97399999999999,0.613,0.0,0.672,0
157,Umbrella,Rihanna,0.8290000000000001,174.028,0.583,0.0,0.575,2
158,Crazy,Gnarls Barkley,0.5870000000000001,111.97,0.855,0.0071400000000000005,0.64,0
159,Have I Told You Lately,Van Morrison,0.47700000000000004,143.78,0.344,0.0128,0.182,5
160,Song 2 - 2012 Remaster,Blur,0.789,129.804,0.674,0.0071,0.9179999999999999,6
