,'70s,'80s,'90s,'00s,'10s
128,Ringo Starr,Barbra Streisand,Snow Patrol,Snow Patrol,Ke$ha
129,Nitty Gritty Dirt Band,Foreigner,Hinder,Hinder,Wiz Khalifa
130,The Dramatics,Rod Stewart,Cascada,Cascada,Hot Chelle Rae
131,Carly Simon,Commodores,Christina Aguilera,Christina Aguilera,Ke$ha
132,Stevie Wonder,Don McLean,Fall Out Boy,Fall Out Boy,Bad Meets Evil Featuring Bruno Mars
133,Aretha Franklin,Marty Balin,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,The Band Perry
134,Aretha Franklin,Diana Ross,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,Gym Class Heroes Featuring Adam Levine
135,Tommy James,Kenny Rogers,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,The Black Eyed Peas
136,Ike & Tina Turner,Champaign,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,Diddy - Dirty Money Featuring Skylar Grey
137,Chicago,Pat Benatar,Nickelback,Nickelback,Pitbull Featuring T-Pain
138,Stampeders,The Alan Parsons Project,Kelly Clarkson,Kelly Clarkson,Rihanna
139,Bread,Bruce Springsteen,The Pussycat Dolls,The Pussycat Dolls,Lil Wayne Featuring Cory Gunz
140,Marvin Gaye,Franke & The Knockouts,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,Lady Antebellum
141,Freda Payne,Terri Gibbs,The Black Eyed Peas,The Black Eyed Peas,Jason Aldean
142,Rare Earth,Leo Sayer,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Taio Cruz
143,Delaney & Bonnie & Friends,Tierra,Chris Brown,Chris Brown,Waka Flocka Flame Featuring Roscoe Dash & Wale
144,Freddie Hart,Styx,Kelly Clarkson,Kelly Clarkson,Britney Spears
145,Three Dog Night,Dottie West,D4L,D4L,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"
146,The Honey Cone,Journey,T.I.,T.I.,Cobra Starship Featuring Sabi
147,Cat Stevens,The Police,The All-American Rejects,The All-American Rejects,Chris Brown
148,Jerry Reed,Gary U.S. Bonds,Nickelback,Nickelback,Nicki Minaj Featuring Drake
149,Olivia Newton-John,Stevie Nicks With Tom Petty And The Heartbreakers,Mariah Carey,Mariah Carey,Dr. Dre Featuring Eminem & Skylar Grey
150,King Floyd,Delbert McClinton,Ne-Yo,Ne-Yo,Nelly
151,Bobby Goldsboro,Cliff Richard,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,Kelly Rowland Featuring Lil Wayne
152,Matthews' Southern Comfort,Neil Diamond,Nickelback,Nickelback,Edward Maya & Vika Jigulina
153,Judy Collins,John Cougar,Nick Lachey,Nick Lachey,Christina Perri
154,Bee Gees,Christopher Cross,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Wiz Khalifa
155,Denise LaSalle,Queen,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,LMFAO
156,Jackson 5,The Alan Parsons Project,KT Tunstall,KT Tunstall,Far*East Movement Featuring Ryan Tedder
157,The Partridge Family,Steve Winwood,Juelz Santana,Juelz Santana,Kanye West
158,Gladys Knight And The Pips,Stevie Wonder,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Britney Spears
159,Paul Stookey,Neil Diamond,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Usher
160,Richie Havens,The Police,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Avril Lavigne
161,Wadsworth Mansion,Steely Dan,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Tinie Tempah Featuring Eric Turner
162,Brenda & The Tabulations,Stevie Wonder,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Trey Songz Featuring Nicki Minaj
163,The Doors,George Harrison,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Usher Featuring Pitbull
164,Perry Como,Eddie Rabbitt,Jibbs,Jibbs,The Script
165,Song,Billy Squier,Akon Featuring Eminem,Akon Featuring Eminem,Blake Shelton
166,Song,Alabama,Ray J,Ray J,Jason Aldean With Kelly Clarkson
167,Song,Dan Fogelberg,Fall Out Boy,Fall Out Boy,Rihanna Featuring Calvin Harris
168,Song,Pablo Cruise,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Keri Hilson
169,Song,Electric Light Orchestra,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Lady Gaga
170,Song,John Schneider,Bon Jovi,Bon Jovi,Far*East Movement Featuring Cataracs & Dev
171,Song,Pat Benatar,JoJo,JoJo,David Guetta Featuring Usher
172,Song,Santana,Busta Rhymes,Busta Rhymes,Taylor Swift
173,Song,Barbra Streisand & Barry Gibb,Daddy Yankee,Daddy Yankee,Katy Perry
174,Song,John Lennon,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Eli Young Band
175,Song,Heart,Rascal Flatts,Rascal Flatts,Rihanna
176,Song,Ronnie Milsap,Evanescence,Evanescence,Selena Gomez & The Scene
177,Song,Barry Manilow,Carrie Underwood,Carrie Underwood,Jake Owen
178,Song,Olivia Newton-John And Cliff Richard,Danity Kane,Danity Kane,Zac Brown Band Featuring Jimmy Buffett
179,Song,Sheena Easton,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Luke Bryan
180,Song,The Beach Boys,Sean Paul,Sean Paul,Brad Paisley Duet With Carrie Underwood
181,Song,Devo,Blue October,Blue October,Dev
182,Song,Sheena Easton,Lifehouse,Lifehouse,New Boyz Featuring The Cataracs & Dev
183,Song,Gary Wright,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,Drake
184,Song,Rosanne Cash,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Beyonce
185,Song,Diana Ross,Chris Brown,Chris Brown,Jason Derulo
186,Song,Boz Scaggs,John Mayer,John Mayer,David Guetta Featuring Flo Rida & Nicki Minaj
187,Song,Andy Gibb,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Chris Brown
188,Song,Song,The Black Eyed Peas,The Black Eyed Peas,Rodney Atkins
189,Song,Song,Eminem,Eminem,Mike Posner
190,Song,Song,Madonna,Madonna,Miguel
191,Song,Song,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Jessie J Featuring B.o.B
192,Song,Song,Keyshia Cole,Keyshia Cole,Blake Shelton
193,Song,Song,Ne-Yo,Ne-Yo,Lil Wayne Featuring Drake
194,Song,Song,T.I.,T.I.,Thompson Square
195,Song,Song,P!nk,P!nk,Neon Trees
196,Song,Song,Gorillaz,Gorillaz,Kenny Chesney Featuring Grace Potter
197,Song,Song,T-Pain,T-Pain,Zac Brown Band
198,Song,Song,Taylor Hicks,Taylor Hicks,Big Sean Featuring Chris Brown
199,Song,Song,Teddy Geiger,Teddy Geiger,Song
200,Gilbert O'Sullivan,Olivia Newton-John,Daniel Powter,Daniel Powter,Gotye Featuring Kimbra
201,Don McLean,Joan Jett & the Blackhearts,Sean Paul,Sean Paul,Carly Rae Jepsen
202,Nilsson,The Human League,Nelly Furtado Featuring Timbaland,Nelly Furtado Featuring Timbaland,fun. Featuring Janelle Monae
203,Joe Tex,John Cougar,James Blunt,James Blunt,Maroon 5 Featuring Wiz Khalifa
204,Bill Withers,The Steve Miller Band,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Ellie Goulding
205,Mac Davis,Chicago,Natasha Bedingfield,Natasha Bedingfield,The Wanted
206,Melanie,Soft Cell,Gnarls Barkley,Gnarls Barkley,Kelly Clarkson
207,Wayne Newton,Vangelis,Chamillionaire Featuring Krayzie Bone,Chamillionaire Featuring Krayzie Bone,Rihanna Featuring Calvin Harris
208,Al Green,Quarterflash,Justin Timberlake,Justin Timberlake,Nicki Minaj
209,Looking Glass,Toto,Beyonce Featuring Slim Thug,Beyonce Featuring Slim Thug,One Direction
210,Chi-Lites,Tommy Tutone,Mary J. Blige,Mary J. Blige,Flo Rida Featuring Sia
211,Gallery,Bertie Higgins,"Nelly Featuring Paul Wall, Ali & Gipp","Nelly Featuring Paul Wall, Ali & Gipp",Adele
212,Chuck Berry,Melissa Manchester,The Fray,The Fray,LMFAO
213,Neil Young,Foreigner,Cassie,Cassie,fun.
214,The Stylistics,Rick Springfield,The Pussycat Dolls Featuring Snoop Dogg,The Pussycat Dolls Featuring Snoop Dogg,Katy Perry
215,The Staple Singers,Juice Newton,Chris Brown,Chris Brown,Flo Rida
216,Michael Jackson,Willie Nelson,Ne-Yo,Ne-Yo,Flo Rida
217,War,The Cars,Yung Joc,Yung Joc,Maroon 5
218,America,Dazz Band,Rihanna,Rihanna,Train
219,Neil Diamond,Go-Go's,Panic! At The Disco,Panic! At The Disco,Drake Featuring Lil Wayne
220,Hot Butter,Ray Parker Jr.,The All-American Rejects,The All-American Rejects,Rihanna
221,The Main Ingredient,George Benson,Fergie,Fergie,Neon Trees
222,Climax,Air Supply,Red Hot Chili Peppers,Red Hot Chili Peppers,Drake Featuring Rihanna
223,The Moody Blues,The Motels,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,David Guetta Featuring Sia
224,Raspberries,Fleetwood Mac,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Jason Mraz
225,Cornelius Brothers & Sister Rose,The Alan Parsons Project,Rascal Flatts,Rascal Flatts,Bruno Mars
226,The O'Jays,"Earth, Wind & Fire",The Fray,The Fray,"Kanye West, Big Sean, Pusha T, 2 Chainz"
227,Jonathan Edwards,Journey,Rihanna,Rihanna,Justin Bieber
228,Badfinger,Dan Fogelberg,Snow Patrol,Snow Patrol,LMFAO Featuring Lauren Bennett & GoonRock
229,Elton John,Stevie Nicks With Don Henley,Hinder,Hinder,Alex Clare
230,Michael Jackson,Air Supply,Cascada,Cascada,Katy Perry
231,Daniel Boone,Charlene,Christina Aguilera,Christina Aguilera,Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
232,Dennis Coffey & The Detroit Guitar Band,Paul Davis,Fall Out Boy,Fall Out Boy,Taylor Swift
233,Cat Stevens,Asia,Kanye West Featuring Jamie Foxx,Kanye West Featuring Jamie Foxx,Justin Bieber Featuring Big Sean
234,Rick Nelson,Little River Band,Ludacris Featuring Pharrell,Ludacris Featuring Pharrell,David Guetta Featuring Nicki Minaj
235,Johnny Nash,Buckner & Garcia,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Maroon 5 Featuring Christina Aguilera
236,Elvis Presley,Stevie Wonder,Sean Paul Featuring Keyshia Cole,Sean Paul Featuring Keyshia Cole,P!nk
237,Betty Wright,Lindsey Buckingham,Nickelback,Nickelback,Owl City & Carly Rae Jepsen
238,Argent,Roberta Flack,Kelly Clarkson,Kelly Clarkson,Demi Lovato
239,Bread,Juice Newton,The Pussycat Dolls,The Pussycat Dolls,Jay Z Kanye West
240,The Dramatics,Rod Stewart,T-Pain Featuring Mike Jones,T-Pain Featuring Mike Jones,Katy Perry
241,Al Green,The J. Geils Band,The Black Eyed Peas,The Black Eyed Peas,Calvin Harris
242,Roberta Flack & Donny Hathaway,REO Speedwagon,Fort Minor Featuring Holly Brook,Fort Minor Featuring Holly Brook,Adele
243,T. Rex,Huey Lewis & The News,Chris Brown,Chris Brown,Usher
244,Paul Simon,Paul Davis,Kelly Clarkson,Kelly Clarkson,Tyga
245,Al Green,Diana Ross,D4L,D4L,Jessie J
246,Derek & The Dominos,Alabama,T.I.,T.I.,PSY
247,Aretha Franklin,Royal Philharmonic Orchestra Conducted By Louis Clark,The All-American Rejects,The All-American Rejects,Pitbull Featuring Chris Brown
248,Three Dog Night,"Crosby, Stills & Nash",Nickelback,Nickelback,Phillip Phillips
249,Carpenters,Eddie Money,Mariah Carey,Mariah Carey,David Guetta Featuring Usher
250,Nilsson,Donna Summer,Ne-Yo,Ne-Yo,Gym Class Heroes Featuring Neon Hitch
251,Beverly Bremers,Karla Bonoff,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,Hunter Hayes
252,Donny Osmond,Quincy Jones Featuring James Ingram,Nickelback,Nickelback,Luke Bryan
253,Jim Croce,Elton John,Nick Lachey,Nick Lachey,2 Chainz Featuring Drake
254,Commander Cody & His Lost Planet Airmen,Go-Go's,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Cher Lloyd
255,Apollo 100,Sheena Easton,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Chris Brown
256,Carly Simon,America,KT Tunstall,KT Tunstall,Big Sean Featuring Nicki Minaj
257,Three Dog Night,A Flock Of Seagulls,Juelz Santana,Juelz Santana,Eric Church
