,'70s,'80s,'90s,'00s,'10s
835,Pablo Cruise,Bon Jovi,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Katy Perry,5 Seconds Of Summer
836,Andy Gibb,Elton John,Sean Paul Featuring Keyshia Cole,T.I. Featuring Rihanna,Imagine Dragons
837,John Paul Young,Rick Astley,Nickelback,Plies Featuring Ne-Yo,Offset & Metro Boomin
838,David Gates,George Michael,Kelly Clarkson,Estelle Featuring Kanye West,Post Malone
839,Paul Simon,INXS,The Pussycat Dolls,Lil Wayne Featuring T-Pain,The Weeknd & Kendrick Lamar
840,Heatwave,Richard Marx,T-Pain Featuring Mike Jones,Taylor Swift,Selena Gomez
841,Jay Ferguson,Chicago,The Black Eyed Peas,Danity Kane,Travis Scott
842,Atlanta Rhythm Section,Kylie Minogue,Fort Minor Featuring Holly Brook,Lil Wayne,Migos Featuring Drake
843,Bob Seger & The Silver Bullet Band,Pet Shop Boys & Dusty Springfield,Chris Brown,Buckcherry,Lil Pump
844,Toby Beau,The Jets,Kelly Clarkson,Webbie Featuring Lil' Phat & Lil' Boosie,G-Eazy & Halsey
845,The Trammps,Information Society,D4L,T-Pain Featuring Lil Wayne,Shawn Mendes
846,George Benson,Taylor Dayne,T.I.,Alicia Keys,Kendrick Lamar & SZA
847,Styx,Debbie Gibson,The All-American Rejects,Taylor Swift,Migos
848,Player,Jody Watley,Nickelback,The Pussycat Dolls,Sam Smith
849,Carly Simon,U2,Mariah Carey,Snoop Dogg,Kendrick Lamar Featuring Zacari
850,Dolly Parton,Belinda Carlisle,Ne-Yo,Colby O'Donis Featuring Akon,Childish Gambino
851,Linda Ronstadt,Terence Trent D'Arby,E-40 Featuring T-Pain & Kandi Girl,3 Doors Down,Drake
852,Steely Dan,Roger,Nickelback,Leona Lewis,Kane Brown
853,Anne Murray,Pebbles,Nick Lachey,Soulja Boy Tell'em,Cardi B
854,Little River Band,Michael Jackson,Field Mob Featuring Ciara,Linkin Park,Lil Dicky Featuring Chris Brown
855,Jefferson Starship,Pebbles,Cherish Featuring Sean Paul Of The YoungBloodZ,"Wyclef Jean Featuring Akon, Lil Wayne & Niia",6ix9ine
856,Eddie Money,Huey Lewis & The News,KT Tunstall,Ne-Yo,Rich The Kid
857,Shaun Cassidy,INXS,Juelz Santana,Secondhand Serenade,Maroon 5
858,John Travolta & Olivia Newton-John,Pretty Poison,Young Dro Featuring T.I.,Flo Rida Featuring will.i.am,Cardi B
859,Lynyrd Skynyrd,New Edition,Jamie Foxx Featuring Ludacris,John Mayer,Selena Gomez X Marshmello
860,Crystal Gayle,The Jets,Justin Timberlake Featuring T.I.,Jordin Sparks,Cardi B Featuring 21 Savage
861,Robert Palmer,Peter Cetera,Eminem Featuring Nate Dogg,Rihanna Featuring Ne-Yo,Ariana Grande
862,Barry Manilow,Cheap Trick,Chingy Featuring Tyrese,Lupe Fiasco Featuring Matthew Santos,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
863,Rick James,Elton John,Kelis Featuring Too $hort,J. Holiday,Demi Lovato
864,"Earth, Wind & Fire",Foreigner,Jibbs,Kevin Rudolf Featuring Lil Wayne,Charlie Puth
865,Bob Welch,Keith Sweat,Akon Featuring Eminem,David Banner Featuring Chris Brown,MAX Featuring gnash
866,Le Blanc & Carr,Natalie Cole,Ray J,Colbie Caillat,Khalid
867,Santa Esmeralda,Tracy Chapman,Fall Out Boy,Young Jeezy Featuring Kanye West,Calvin Harris & Dua Lipa
868,Michael Johnson,Icehouse,Chris Brown Featuring Lil Wayne,David Cook,Imagine Dragons
869,Jackson Browne,Bruce Hornsby & The Range,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,"Three 6 Mafia Featuring Project Pat, Young D & Superpower",Jason Aldean
870,Foxy,Bobby Brown,Bon Jovi,Baby Bash Featuring T-Pain,Ed Sheeran
871,Joe Walsh,Brenda Russell Featuring Joe Esposito,JoJo,Natasha Bedingfield Featuring Sean Kingston,Gucci Mane Featuring Migos
872,High Inergy,Van Halen,Busta Rhymes,Jonas Brothers,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo"
873,Linda Ronstadt,Paul Carrack,Daddy Yankee,Kanye West,A$AP Ferg Featuring Nicki Minaj
874,Odyssey,Sting,Beyonce Featuring Jay Z,The-Dream,Miguel Featuring Travis Scott
875,Parliament,Joan Jett & the Blackhearts,Rascal Flatts,David Archuleta,Thomas Rhett
876,Boston,Foreigner,Evanescence,Plies Featuring Akon,"benny blanco, Halsey & Khalid"
877,Electric Light Orchestra,Al B. Sure!,Carrie Underwood,Fergie,The Weeknd
878,Eruption,Steve Winwood,Danity Kane,Kanye West Featuring T-Pain,"Jay Rock, Kendrick Lamar, Future & James Blake"
879,Bob Welch,Whitney Houston,Ciara Featuring Chamillionaire,Britney Spears,Marshmello & Bastille
880,ABBA,Gloria Estefan & Miami Sound Machine,Sean Paul,Taylor Swift,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny"
881,Rita Coolidge,George Michael,Blue October,Mary J. Blige,Florida Georgia Line
882,Bob Seger & The Silver Bullet Band,Brenda K. Starr,Lifehouse,Britney Spears,N*E*R*D & Rihanna
883,Steely Dan,Cher,The Pussycat Dolls Featuring will.i.am,Rick Ross Featuring T-Pain,Logic Featuring Alessia Cara & Khalid
884,Song,INXS,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Kid Rock,Justin Timberlake Featuring Chris Stapleton
885,Song,Steve Winwood,Chris Brown,Trey Songz,Drake
886,Song,David Lee Roth,John Mayer,Gavin DeGraw,Kenny Chesney
887,Song,Poison,Young Jeezy Featuring Akon,The Game Featuring Lil Wayne,XXXTENTACION
888,Song,White Lion,The Black Eyed Peas,Keyshia Cole,Maroon 5 Featuring SZA
889,Song,Taylor Dayne,Eminem,Kanye West Featuring Dwele,Nicky Jam x J Balvin
890,Song,Song,Madonna,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,YoungBoy Never Broke Again
891,Song,Song,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Miley Cyrus,Ella Mai
892,Song,Song,Keyshia Cole,Trace Adkins,Daddy Yankee
893,Song,Song,Ne-Yo,Gavin Rossdale,XXXTENTACION
894,Song,Song,T.I.,Daughtry,Brett Young
895,Song,Song,P!nk,Timbaland Featuring Keri Hilson,Luke Combs
896,Song,Song,Gorillaz,Saving Abel,Rae Sremmurd & Juicy J
897,Song,Song,T-Pain,Santana Featuring Chad Kroeger,Dua Lipa
898,Song,Song,Taylor Hicks,Keyshia Cole,J Balvin & Willy William Featuring Beyonce
899,Song,Song,Teddy Geiger,2 Pistols Featuring T-Pain & Tay Dizm,Imagine Dragons
900,The Knack,Chicago,Daniel Powter,The Black Eyed Peas,Lil Nas X Featuring Billy Ray Cyrus
901,Donna Summer,Bobby Brown,Sean Paul,Lady Gaga,Post Malone & Swae Lee
902,Chic,Poison,Nelly Furtado Featuring Timbaland,Lady Gaga Featuring Colby O'Donis,Halsey
903,Rod Stewart,Paula Abdul,James Blunt,The Black Eyed Peas,Billie Eilish
904,Peaches & Herb,Janet Jackson,Shakira Featuring Wyclef Jean,Taylor Swift,Post Malone
905,Gloria Gaynor,Paula Abdul,Natasha Bedingfield,Flo Rida,Marshmello & Bastille
906,Donna Summer,Will To Power,Gnarls Barkley,Jason Mraz,Ariana Grande
907,Village People,Anita Baker,Chamillionaire Featuring Krayzie Bone,Beyonce,Khalid
908,Anita Ward,Richard Marx,Justin Timberlake,Kanye West,Travis Scott
909,Robert John,Boy Meets Girl,Beyonce Featuring Slim Thug,The All-American Rejects,Jonas Brothers
910,Bee Gees,Debbie Gibson,Mary J. Blige,Taylor Swift,Panic! At The Disco
911,Dr. Hook,Gloria Estefan,"Nelly Featuring Paul Wall, Ali & Gipp",T.I. Featuring Justin Timberlake,Ariana Grande
912,David Naughton,Warrant,The Fray,The Fray,Lizzo
913,The Pointer Sisters,Milli Vanilli,Cassie,Kings Of Leon,Sam Smith & Normani
914,Bee Gees,Roxette,The Pussycat Dolls Featuring Snoop Dogg,Keri Hilson Featuring Kanye West & Ne-Yo,Shawn Mendes & Camila Cabello
915,Olivia Newton-John,Phil Collins,Chris Brown,Jamie Foxx Featuring T-Pain,Ed Sheeran & Justin Bieber
916,Blondie,Milli Vanilli,Ne-Yo,Pitbull,"benny blanco, Halsey & Khalid"
917,The Doobie Brothers,Roxette,Yung Joc,T.I. Featuring Rihanna,Meek Mill Featuring Drake
918,Chic,Bon Jovi,Rihanna,Soulja Boy Tell 'em Featuring Sammie,Lady Gaga & Bradley Cooper
919,Barbra Streisand & Neil Diamond,Simply Red,Panic! At The Disco,Jay Sean Featuring Lil Wayne,Khalid
920,Amii Stewart,Madonna,The All-American Rejects,Miley Cyrus,Chris Brown Featuring Drake
921,Maxine Nightingale,New Kids On The Block,Fergie,Drake,Maroon 5 Featuring Cardi B
922,Melissa Manchester,Breathe,Red Hot Chili Peppers,Kelly Clarkson,Ava Max
923,Supertramp,Milli Vanilli,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Beyonce,DaBaby
924,Billy Joel,Martika,Dem Franchize Boyz Featuring Lil Peanut & Charlay,Katy Perry,J. Cole
925,Randy VanWarmer,Paula Abdul,Rascal Flatts,Shinedown,Lil Baby & Gunna
926,Raydio,Mike + The Mechanics,The Fray,Britney Spears,Lewis Capaldi
927,Peaches & Herb,Tone-Loc,Rihanna,Kid Cudi,Lil Tecca
928,Dionne Warwick,Bad English,Snow Patrol,Miley Cyrus,Shawn Mendes
929,Bee Gees,Cher,Hinder,3OH!3,Post Malone Featuring Young Thug
930,Cheap Trick,Neneh Cherry,Cascada,"Jay-Z, Rihanna & Kanye West",Kodak Black Featuring Travis Scott & Offset
931,Barbra Streisand,Sheriff,Christina Aguilera,Kevin Rudolf Featuring Lil Wayne,Post Malone
932,Elton John,Taylor Dayne,Fall Out Boy,Sean Kingston,5 Seconds Of Summer
933,Leif Garrett,Bon Jovi,Kanye West Featuring Jamie Foxx,Jason Derulo,Drake Featuring Rick Ross
934,"Earth, Wind & Fire",Fine Young Cannibals,Ludacris Featuring Pharrell,Lady Gaga,Dan + Shay
935,Kenny Rogers,Sheena Easton,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,Katy Perry,Ariana Grande
936,Nicolette Larson,Young M.C.,Sean Paul Featuring Keyshia Cole,Jeremih,Cardi B & Bruno Mars
937,Little River Band,Jody Watley,Nickelback,P!nk,Cardi B
938,Bonnie Pointer,Bobby Brown,Kelly Clarkson,Britney Spears,Taylor Swift
939,Toto,New Kids On The Block,The Pussycat Dolls,T.I.,Lil Nas X
940,Sister Sledge,Rod Stewart,T-Pain Featuring Mike Jones,Mariah Carey,A Boogie Wit da Hoodie
941,Dr. Hook,New Kids On The Block,The Black Eyed Peas,Ne-Yo,21 Savage
942,Kenny Rogers,Def Leppard,Fort Minor Featuring Holly Brook,Cobra Starship Featuring Leighton Meester,Taylor Swift Featuring Brendon Urie
943,Village People,Richard Marx,Chris Brown,Kanye West,Bad Bunny Featuring Drake
944,Frank Mills,Madonna,Kelly Clarkson,P!nk,Polo G Featuring Lil Tjay
945,Charlie Daniels Band,Dino,D4L,Pitbull,Luke Combs
946,John Stewart,Donny Osmond,T.I.,"Eminem, Dr. Dre & 50 Cent",Blueface
947,Wings,Tears For Fears,The All-American Rejects,Beyonce,Juice WRLD
948,Sister Sledge,Madonna,Nickelback,Keri Hilson Featuring Lil Wayne,Sheck Wes
949,Bad Company,White Lion,Mariah Carey,The Pussycat Dolls,Ed Sheeran Featuring Khalid
950,Hot Chocolate,Skid Row,Ne-Yo,Nickelback,Gucci Mane X Bruno Mars X Kodak Black
951,Cher,Duran Duran,E-40 Featuring T-Pain & Kandi Girl,P!nk,Morgan Wallen
952,"Earth, Wind & Fire",Thirty Eight Special,Nickelback,Lady Gaga,Blake Shelton
953,Andy Gibb,Karyn White,Nick Lachey,Akon Featuring Colby O'Donis & Kardinal Offishall,Dean Lewis
954,Bobby Caldwell,Tone-Loc,Field Mob Featuring Ciara,Coldplay,Mustard & Migos
955,Ace Frehley,Natalie Cole,Cherish Featuring Sean Paul Of The YoungBloodZ,Akon,Blanco Brown
956,Dire Straits,The Cure,KT Tunstall,Jordin Sparks,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
957,Chic,Karyn White,Juelz Santana,Flo Rida Featuring Wynter,Ellie Goulding X Diplo Featuring Swae Lee
958,McFadden & Whitehead,The Jeff Healey Band,Young Dro Featuring T.I.,Ne-Yo,Calboy
959,Little River Band,Guns N' Roses,Jamie Foxx Featuring Ludacris,Owl City,Lauren Daigle
960,Styx,Eddie Money,Justin Timberlake Featuring T.I.,Linkin Park,Panic! At The Disco
961,England Dan & John Ford Coley,New Kids On The Block,Eminem Featuring Nate Dogg,Jay-Z + Alicia Keys,Post Malone
962,Cheryl Lynn,Guns N' Roses,Chingy Featuring Tyrese,Daughtry,Luke Combs
963,Patrick Hernandez,Surface,Kelis Featuring Too $hort,Shakira,"Young Thug, J. Cole & Travis Scott"
964,Electric Light Orchestra,R.E.M.,Jibbs,Mario Featuring Gucci Mane & Sean Garrett,Daddy Yankee & Katy Perry Featuring Snow
965,Anne Murray,Lita Ford (Duet With Ozzy Osbourne),Akon Featuring Eminem,Beyonce,YNW Melly
966,Ian Matthews,Tiffany,Ray J,Young Money,Billie Eilish
967,KISS,Bobby Brown,Fall Out Boy,Colbie Caillat,City Girls
968,Gino Vannelli,Aerosmith,Chris Brown Featuring Lil Wayne,The Veronicas,"Cardi B, Bad Bunny & J Balvin"
969,Linda Ronstadt,Bon Jovi,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Nickelback,SHAED
970,"Earth, Wind & Fire",When In Rome,Bon Jovi,Fabolous Featuring The-Dream,Flipp Dinero
971,Al Stewart,Edie Brickell & New Bohemians,JoJo,Boys Like Girls,Ariana Grande
972,Herb Alpert,Boys Club,Busta Rhymes,Asher Roth,Billie Eilish
973,Electric Light Orchestra,Guns N' Roses,Daddy Yankee,Britney Spears,Lil Baby
974,Eric Clapton,Samantha Fox,Beyonce Featuring Jay Z,Jason Aldean,Pinkfong
975,Roger Voudoris,Rick Astley,Rascal Flatts,Taylor Swift,Saweetie
976,Ambrosia,Vanessa Williams,Evanescence,Rihanna,YK Osiris
977,Eddie Rabbitt,Babyface,Carrie Underwood,Green Day,Jonas Brothers
978,Rex Smith,Alice Cooper,Danity Kane,Soulja Boy Tell'em,Luke Bryan
979,Alice Cooper,Donna Summer,Ciara Featuring Chamillionaire,The-Dream,Ella Mai
980,Foreigner,Michael Jackson,Sean Paul,Zac Brown Band,Lee Brice
981,Barry Manilow,Bobby Brown,Blue October,Beyonce,A Boogie Wit da Hoodie Featuring 6ix9ine
982,Bob Seger,Expose,Lifehouse,Iyaz,Sam Smith
983,Van Halen,Don Henley,The Pussycat Dolls Featuring will.i.am,Brad Paisley,Lil Baby & DaBaby
984,Nigel Olsson,Soul II Soul (Featuring Caron Wheeler),"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Rob Thomas,Thomas Rhett
985,Diana Ross,Song,Chris Brown,Jesse McCartney Featuring Ludacris,Kane Brown
986,Commodores,Song,John Mayer,Britney Spears,Offset Featuring Cardi B
987,Firefall,Song,Young Jeezy Featuring Akon,"Drake Featuring Kanye West, Lil Wayne & Eminem",Khalid & Normani
988,Song,Song,The Black Eyed Peas,Justin Bieber,Marshmello & Kane Brown
989,Song,Song,Eminem,Lady Antebellum,Megan Thee Stallion Featuring DaBaby
990,Song,Song,Madonna,Kelly Clarkson,Dan + Shay
991,Song,Song,Three 6 Mafia Featuring Young Buck & Eightball & MJG,John Legend Featuring Andre 3000,NLE Choppa
992,Song,Song,Keyshia Cole,Billy Currington,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign"
993,Song,Song,Ne-Yo,Zac Brown Band,Florida Georgia Line
994,Song,Song,T.I.,Kelly Clarkson,Bazzi Featuring Camila Cabello
995,Song,Song,P!nk,Kristinia DeBarge,Chase Rice
996,Song,Song,Gorillaz,Michael Franti & Spearhead Featuring Cherine Anderson,Dan + Shay
997,Song,Song,T-Pain,Jim Jones & Ron Browz Featuring Juelz Santana,Ariana Grande & Social House
998,Song,Song,Taylor Hicks,Maxwell,P!nk
999,Song,Song,Teddy Geiger,The Fray,Juice WRLD
